NAME               SYNC STATUS   HEALTH STATUS   REVISION                                   PROJECT
api                Synced        Healthy         425622d8367750e41d548050393bf5e981b7de07   default
cnpg-operator      Synced        Healthy         0.29.0                                     default
database           Synced        Healthy         8d7a6dd361bd593a8ba4dd687f7bab8c2fafe5be   default
edge-consumer      Synced        Healthy         425622d8367750e41d548050393bf5e981b7de07   default
kyverno            OutOfSync     Healthy         3.8.2                                      default
minio              Synced        Healthy         425622d8367750e41d548050393bf5e981b7de07   default
monitoring         Synced        Healthy         88.1.3                                     default
namespaces         Synced        Healthy         425622d8367750e41d548050393bf5e981b7de07   default
network-policies   Synced        Healthy         425622d8367750e41d548050393bf5e981b7de07   default
platform           OutOfSync     Healthy         425622d8367750e41d548050393bf5e981b7de07   default
policies           Synced        Healthy         425622d8367750e41d548050393bf5e981b7de07   default
sealed-secrets     Synced        Healthy         2.19.1                                     default
secrets            Synced        Healthy         425622d8367750e41d548050393bf5e981b7de07   default
